State;Up;Down;Left;Right;Stay
-1|1|2|0101|0|1;47.83569;-156.0431;43.7294;-104.5393;-91.94145
-1|0|2|0001|0|1;107.9266;78.90894;29.92678;-112.4251;-104.1176
1|1|0|0000|0|1;-6942.201;-873.5084;-873.4982;-6828.53;-969.2051
-1|1|0|0001|0|1;-1694.825;-892.4071;-1272.115;-984.0807;-983.45
1|1|1|0100|0|1;-399.7714;-430.808;-437.6994;-407.586;-549.5642
1|1|0|0100|0|1;-6683.419;-976.5929;-882.6328;-4816.717;-974.1116
0|0|0|0100|0|1;-1865.3;-549.5;-500;-500;-1500
1|1|2|0001|0|-1;130.35;156.7381;154.4564;-67.75977;-54.45731
1|0|0|0100|0|1;-881.5777;-3245.294;-881.5585;-2288.739;-3597.315
-1|-1|0|0001|0|1;-890.1872;-4217.901;-2682.871;-984.4984;-976.9068
-1|0|0|0001|0|1;-885.1322;-892.8502;-7192.032;-3219.239;-4513.548
-1|-1|2|0100|0|1;182.3379;-35.88178;136;170.268;-39.41828
-1|-1|2|0101|0|1;123.9021;-88.5757;0;-76.7219;-60
-1|-1|1|0101|0|1;62.74655;-77.86177;75.77543;-106.3182;-148.4016
-1|0|1|0100|0|1;50.89079;-468.1765;-639.0475;33.52205;-498.7809
-1|0|1|0101|0|1;-58.08494;-212.0979;-580.9702;-304.4294;-270.9317
-1|0|0|0101|0|1;-883.8843;-4588.486;-3788.254;-2447.028;-4667.997
0|0|0|0100|-1|0;0;-1000;0;0;0
-1|0|0|0000|0|1;-885.7664;-885.5232;-6963.974;-885.7491;-6927.448
-1|-1|0|0001|0|-1;-977.9975;-1672.166;-3677.927;-975.4622;-975.4687
1|1|0|0010|0|1;-1704.889;-904.869;-983.9865;-1816.575;-982.4628
1|1|2|0001|0|1;86.91687;146.8934;129.9755;-111.4746;-81.11974
1|1|1|0001|0|-1;-519.6566;58.54672;117.5841;-96.52639;-119.6896
0|1|1|0001|0|-1;-24.30345;69.30458;78.9255;-107.5629;-104.4069
